index,label
1,other
2,indexing
3,indexing
4,molding
5,indexing
6,emblematic
7,representing
8,other
9,emblematic
10,other
11,emblematic
12,representing
13,molding
14,indexing
15,indexing
16,indexing
17,other
18,indexing
19,emblematic
20,molding
21,molding
22,emblematic
23,emblematic
24,indexing
25,molding
26,other
27,indexing
28,other
29,other
30,indexing
31,other
32,other
33,indexing
34,other
35,indexing
36,emblematic
37,emblematic
38,indexing
39,emblematic
40,indexing
41,indexing
42,indexing
43,other
44,other
45,other
46,emblematic
47,other
48,indexing
49,indexing
50,indexing
51,indexing
52,indexing
53,representing
54,other
55,emblematic
56,indexing
57,representing
58,emblematic
59,other
60,representing
61,other
62,representing
63,indexing
64,emblematic
65,emblematic
66,emblematic
67,representing
68,representing
69,emblematic
70,indexing
71,other
72,molding
73,representing
