index,label
1,other
2,nogesture
3,molding
4,nogesture
5,nogesture
6,other
7,molding
8,other
9,other
10,other
11,other
12,other
13,other
14,molding
15,indexing
16,representing
17,other
18,molding
19,other
20,other
21,other
22,indexing
23,indexing
24,molding
25,nogesture
26,molding
27,molding
28,molding
29,other
30,molding
31,other
32,other
33,representing
34,representing
35,representing
36,representing
37,representing
38,representing
39,representing
40,representing
41,indexing
42,representing
43,representing
44,representing
45,emblematic
46,emblematic
47,molding
48,indexing
49,emblematic
50,indexing
51,other
52,nogesture
53,other
54,other
55,indexing
56,other
57,molding
58,nogesture
59,other
60,nogesture
61,other
62,molding
63,nogesture
64,nogesture
65,nogesture
66,nogesture
67,nogesture
68,nogesture
69,nogesture
70,other
71,nogesture
72,nogesture
73,other
74,other
75,nogesture
76,representing
77,representing
78,emblematic
79,representing
80,representing
81,emblematic
82,indexing
83,other
84,indexing
85,emblematic
86,emblematic
87,emblematic
88,emblematic
89,molding
90,molding
91,emblematic
92,other
93,other
94,molding
95,nogesture
96,molding
97,nogesture
98,nogesture
99,other
100,other
101,molding
102,molding
103,molding
104,representing
105,representing
106,representing
107,emblematic
108,molding
109,emblematic
110,representing
111,indexing
112,representing
113,nogesture
