index,label
1,representing
2,representing
3,representing
4,representing
5,representing
6,representing
7,representing
8,representing
9,representing
10,indexing
11,representing
12,indexing
13,representing
14,emblematic
15,emblematic
16,indexing
17,emblematic
18,indexing
19,representing
20,representing
21,emblematic
22,representing
23,representing
24,emblematic
25,indexing
26,other
27,indexing
28,emblematic
29,emblematic
30,emblematic
31,emblematic
32,emblematic
33,representing
34,representing
35,representing
36,emblematic
37,molding
38,emblematic
39,representing
40,indexing
41,representing
42,other
